,Tissue,Title,Article,Data,Meta_data,Disease,Technology,N_cells,N_sampels
0,head-and-neck,Chen et al. 2020,https://www.nature.com/articles/s41422-020-0374-x,https://www.dropbox.com/sh/9aezfyi67u1quf2/AACMVfmzDVX-OyqSp4U3_l6ia?dl=1,https://www.dropbox.com/scl/fi/yezd3kpbwrx8v6oedx31t/Meta-data_Chen2020_Head-and-Neck.csv?rlkey=m3j4oc4vt3u0jybfh0fc7vl82&dl=1,Nasopharyngeal carcinoma,10x,71896.0,14.0
1,head-and-neck,Cillo et al. 2020,https://www.sciencedirect.com/science/article/pii/S1074761319304959,https://www.dropbox.com/sh/oj597z3szln7w3f/AAAZmhWKXAD4wGJ3LWEpbYVoa?dl=1,https://www.dropbox.com/scl/fi/sltseby5sk5veuwvtrnkm/Meta-data_Cillo2020_Head-and-Neck.csv?rlkey=09vl821rtbnmf34r52db6pogi&dl=1,HNSCC,10x,92569.0,48.0
2,head-and-neck,Kürten et al. 2021,https://www.nature.com/articles/s41467-021-27619-4,https://www.dropbox.com/sh/joxorlh80a9pv9e/AABNf1vJYgpbamWds69xLSZWa?dl=1,https://www.dropbox.com/scl/fi/fneslxg2wk7f220romjci/Meta-data_K-rten2021_Head-and-Neck.csv?rlkey=ite5aq7eh0iy4189pz2xyd7q4&dl=1,HNSCC,10x,62700.0,33.0
3,head-and-neck,Puram et al. 2017,https://www.sciencedirect.com/science/article/pii/S0092867417312709,https://www.dropbox.com/sh/5om04jwfc5jjy4w/AACI8RnGKGjJFutgS54Qk1jea?dl=1,https://www.dropbox.com/scl/fi/kdm9uuvgy5cl25d56n2z7/Meta-data_Puram2017_Head-and-Neck.csv?rlkey=u7mq5jy949cuwwk7si6a4eje3&dl=1,HNSCC,SmartSeq2,5902.0,18.0
4,lung,Bischoff et al. 2021,https://www.nature.com/articles/s41388-021-02054-3,https://www.dropbox.com/sh/oa9fiez1dgts4c1/AACgyklKuUBPIGMyBUEFxZJga?dl=1,https://www.dropbox.com/scl/fi/6bzuhhml1watvrb6hi0p7/Meta-data_Bischoff2021_Lung.csv?rlkey=0q5cs996swl4sgz56rkh1lpbk&dl=1,Lung adenocarcinoma,10x,120961.0,20.0
5,lung,Chan et al. 2021,https://www.cell.com/cancer-cell/fulltext/S1535-6108(21)00497-9,https://www.dropbox.com/sh/81uz1hlrv4jhpgk/AAAoe6St1_YPhV3HdGk3BS_Aa?dl=1,https://www.dropbox.com/scl/fi/nhenfikoem05b15bqt005/Meta-data_Chan2021_Lung.csv?rlkey=ecqjlxzhngamyko3urapd5fdo&dl=1,"SCLC, Lung Adenocarcinoma",10x,86662.0,37.0
6,lung,Guo et al. 2018,https://www.nature.com/articles/s41591-018-0045-3,https://www.dropbox.com/sh/agqwrn8n4jeeyb3/AABUCIleQPkVBXogpfGffZ3ea?dl=1,https://www.dropbox.com/scl/fi/ic5hzymyr3safsbe5ishx/Meta-data_Guo2018_Lung.csv?rlkey=frgf0avononl6lgjdfpy9qwf5&dl=1,NSCLC,SmartSeq2,12344.0,40.0
7,lung,Ireland et al. 2020,https://www.sciencedirect.com/science/article/pii/S153561082030218X,https://www.dropbox.com/sh/ma3xg042vxuu5h2/AABM5qlyQ6UCF6CfQo4A1X-la?dl=1,https://www.dropbox.com/scl/fi/fbiak241vs1ejsdq8gi0r/Meta-data_Ireland2020_Lung.csv?rlkey=q5j6c7qrdp80l51raykcq7vqd&dl=1,SCLC,10x,31258.0,12.0
8,lung,Kim et al. 2020,https://www.nature.com/articles/s41467-020-16164-1,https://www.dropbox.com/sh/97paub4mfkcviz1/AADXOe8pWbvlolETToAte3GYa?dl=1,https://www.dropbox.com/scl/fi/x7sbrhizwx3psdatxtgba/Meta-data_Kim2020_Lung.csv?rlkey=51htgx5nhgwoewdi8edvmriwx&dl=1,Lung adenocarcinoma,10x,32493.0,14.0
9,lung,Laughney et al. 2020,https://www.nature.com/articles/s41591-019-0750-6,https://www.dropbox.com/sh/brhl99vockjblt9/AABhvs2J8ZZDPpDh_tTtNaaRa?dl=1,https://www.dropbox.com/scl/fi/8a5pt0nk0ftdn4dedaokp/Meta-data_Laughney2020_Lung.csv?rlkey=1eg1cyo84pks08eh7us80psdc&dl=1,Lung cancer,10x,40505.0,17.0
