cell_name,celltype
MGH100-P5-A01,AC
MGH100-P5-A03,OPC
MGH100-P5-A04,MES
MGH100-P5-A06,OPC
MGH100-P5-A07,MES
MGH100-P5-A08,OPC
MGH100-P5-A09,OPC
MGH100-P5-A10,MES
MGH100-P5-A12,OPC
MGH100-P5-B02,OPC
MGH100-P5-B07,MES
MGH100-P5-B08,OPC
MGH100-P5-B09,MES
MGH100-P5-B10,AC
MGH100-P5-C03,AC
MGH100-P5-C04,OPC
MGH100-P5-C06,AC
MGH100-P5-C08,OPC
MGH100-P5-C10,MES
MGH100-P5-D01,OPC
MGH100-P5-D03,AC
MGH100-P5-D04,AC
MGH100-P5-D07,AC
MGH100-P5-D09,AC
MGH100-P5-E01,AC
MGH100-P5-E02,AC
MGH100-P5-E06,MES
MGH100-P5-E08,AC
MGH100-P5-E11,MES
MGH100-P5-E12,AC
MGH100-P5-F04,AC
MGH100-P5-F06,AC
MGH100-P5-F09,OPC
MGH100-P5-F11,AC
MGH100-P5-F12,OPC
MGH100-P5-G01,MES
MGH100-P5-G02,AC
MGH100-P5-G03,AC
MGH100-P5-G06,AC
MGH100-P5-G09,AC
MGH100-P5-G12,MES
MGH100-P5-H01,AC
MGH100-P5-H03,MES
MGH100-P5-H04,OPC
MGH100-P5-H06,MES
MGH100-P5-H07,OPC
MGH100-P5-H10,OPC
MGH100-P5-H11,MES
MGH100-P6-A01,OPC
MGH100-P6-A02,OPC
MGH100-P6-A06,MES
MGH100-P6-A07,OPC
MGH100-P6-A09,OPC
MGH100-P6-A11,OPC
MGH100-P6-A12,OPC
MGH100-P6-B06,AC
MGH100-P6-B07,OPC
MGH100-P6-B09,AC
MGH100-P6-B10,AC
MGH100-P6-B12,NPC
MGH100-P6-C01,MES
MGH100-P6-C04,OPC
MGH100-P6-C05,OPC
MGH100-P6-C09,MES
MGH100-P6-C11,AC
MGH100-P6-D02,OPC
MGH100-P6-D04,MES
MGH100-P6-D05,AC
MGH100-P6-D07,AC
MGH100-P6-D08,OPC
MGH100-P6-D09,AC
MGH100-P6-D10,OPC
MGH100-P6-D12,AC
MGH100-P6-E04,OPC
MGH100-P6-E05,AC
MGH100-P6-E07,MES
MGH100-P6-E08,NPC
MGH100-P6-E09,AC
MGH100-P6-F01,AC
MGH100-P6-F05,OPC
MGH100-P6-F07,AC
MGH100-P6-F09,OPC
MGH100-P6-F11,AC
MGH100-P6-F12,OPC
MGH100-P6-G02,AC
MGH100-P6-G04,OPC
MGH100-P6-G07,AC
MGH100-P6-G11,AC
MGH100-P6-G12,AC
MGH100-P6-H01,OPC
MGH100-P6-H04,OPC
MGH100-P6-H05,OPC
MGH100-P6-H06,MES
MGH100-P6-H09,OPC
MGH100-P6-H11,OPC
MGH100-P6-H12,MES
MGH100-P8-A02,OPC
MGH100-P8-A04,MES
MGH100-P8-A06,AC
MGH100-P8-A08,OPC
MGH100-P8-A12,MES
MGH100-P8-B02,OPC
MGH100-P8-B03,NPC
MGH100-P8-B06,OPC
MGH100-P8-B08,OPC
MGH100-P8-B09,OPC
MGH100-P8-B10,OPC
MGH100-P8-B11,AC
MGH100-P8-B12,OPC
MGH100-P8-C02,AC
MGH100-P8-C03,OPC
MGH100-P8-C04,OPC
MGH100-P8-C07,OPC
MGH100-P8-C09,MES
MGH100-P8-C10,AC
MGH100-P8-C12,AC
MGH100-P8-D01,OPC
MGH100-P8-D02,AC
MGH100-P8-D03,AC
MGH100-P8-D05,AC
MGH100-P8-D08,MES
MGH100-P8-D09,MES
MGH100-P8-D11,MES
MGH100-P8-E03,OPC
MGH100-P8-E05,OPC
MGH100-P8-E06,OPC
MGH100-P8-E08,AC
MGH100-P8-E09,AC
MGH100-P8-F03,MES
MGH100-P8-F04,AC
MGH100-P8-F05,OPC
MGH100-P8-F07,MES
MGH100-P8-F08,OPC
MGH100-P8-F09,MES
MGH100-P8-F10,OPC
MGH100-P8-F11,MES
MGH100-P8-G01,OPC
MGH100-P8-G02,MES
MGH100-P8-G03,AC
MGH100-P8-G04,OPC
MGH100-P8-G05,AC
MGH100-P8-G06,OPC
MGH100-P8-G07,NPC
MGH100-P8-G08,OPC
MGH100-P8-G12,AC
MGH100-P8-H02,OPC
MGH100-P8-H05,MES
MGH100-P8-H08,MES
MGH100-P8-H12,OPC
MGH100-P9-A01,OPC
MGH100-P9-A02,MES
MGH100-P9-A03,MES
MGH100-P9-A04,OPC
MGH100-P9-A06,MES
MGH100-P9-A07,MES
MGH100-P9-A08,MES
MGH100-P9-A09,NPC
MGH100-P9-A11,AC
MGH100-P9-B01,MES
MGH100-P9-B03,OPC
MGH100-P9-B04,AC
MGH100-P9-B05,OPC
MGH100-P9-B06,MES
MGH100-P9-B07,NPC
MGH100-P9-B08,MES
MGH100-P9-B11,MES
MGH100-P9-C01,OPC
MGH100-P9-C02,MES
MGH100-P9-C03,OPC
MGH100-P9-C04,AC
MGH100-P9-C05,AC
MGH100-P9-C06,MES
MGH100-P9-C07,OPC
MGH100-P9-C08,AC
MGH100-P9-C11,NPC
MGH100-P9-D01,AC
MGH100-P9-D05,MES
MGH100-P9-D06,MES
MGH100-P9-D07,AC
MGH100-P9-D09,MES
MGH100-P9-D10,OPC
MGH100-P9-E01,MES
MGH100-P9-E04,AC
MGH100-P9-E05,OPC
MGH100-P9-E06,AC
MGH100-P9-F01,NPC
MGH100-P9-F04,AC
MGH100-P9-F06,OPC
MGH100-P9-F07,OPC
MGH100-P9-F08,OPC
MGH100-P9-F09,MES
MGH100-P9-G01,AC
MGH100-P9-G02,NPC
MGH100-P9-G03,MES
MGH100-P9-G04,MES
MGH100-P9-G05,OPC
MGH100-P9-G06,AC
MGH100-P9-G07,AC
MGH100-P9-G08,OPC
MGH100-P9-G10,MES
MGH100-P9-H01,AC
MGH100-P9-H02,MES
MGH100-P9-H03,OPC
MGH100-P9-H05,AC
MGH100-P9-H06,OPC
MGH100-P9-H07,MES
MGH100-P9-H08,AC
MGH100-P9-H09,OPC
MGH100-P9-H11,OPC
MGH101-P2-A01,AC
MGH101-P2-A04,AC
MGH101-P2-A08,AC
MGH101-P2-B01,AC
MGH101-P2-B02,AC
MGH101-P2-B03,AC
MGH101-P2-B07,AC
MGH101-P2-B08,AC
MGH101-P2-B09,AC
MGH101-P2-B12,MES
MGH101-P2-C05,AC
MGH101-P2-C06,AC
MGH101-P2-C07,AC
MGH101-P2-C08,AC
